"LON","LAT","COD_SPEFAO","QT_SPECIE"
11.1186111111111,37.9833333333333,"ARA",15
11.1355555555556,37.9666666666667,"ARA",24
11.1525,37.9833333333333,"ARA",15
11.1525,37.9672222222222,"ARA",18
11.1694444444444,37.9833333333333,"ARA",36
11.1694444444444,37.9916666666667,"ARA",275
11.1694444444444,37.9875,"ARA",4
11.1694444444444,37.9888888888889,"ARA",120
11.1863888888889,37.9666666666667,"ARA",15
11.1863888888889,37.9833333333333,"ARA",46
11.1863888888889,37.9833333333333,"ARA",46
11.2033333333333,37.9805555555556,"ARA",7
11.2033333333333,37.9833333333333,"ARA",15
11.2033333333333,37.9833333333333,"ARA",137
11.2033333333333,37.9972222222222,"ARA",43
11.2033333333333,37.9972222222222,"ARA",90
11.2202777777778,37.9666666666667,"ARA",30
11.2202777777778,37.9805555555556,"ARA",1
11.2202777777778,37.9833333333333,"ARA",89
11.2202777777778,37.9888888888889,"ARA",12
11.2202777777778,37.9666666666667,"ARA",22
11.2372222222222,37.95,"ARA",17
11.2372222222222,37.9666666666667,"ARA",15
11.2372222222222,37.9833333333333,"ARA",106
11.2372222222222,37.9972222222222,"ARA",16
11.2372222222222,37.9338888888889,"ARA",12
11.2372222222222,37.9861111111111,"ARA",35
11.2541666666667,37.8333333333333,"ARA",20
11.2541666666667,37.9333333333333,"ARA",30
11.2541666666667,37.95,"ARA",31
11.2541666666667,37.9833333333333,"ARA",41
11.2541666666667,37.95,"ARA",23
11.2711111111111,37.85,"ARA",24
11.2711111111111,37.9,"ARA",10
11.2711111111111,37.9166666666667,"ARA",39
11.2711111111111,37.9333333333333,"ARA",30
11.2711111111111,37.95,"ARA",20
11.2711111111111,37.9666666666667,"ARA",36
11.2711111111111,37.9833333333333,"ARA",20
11.2880555555556,37.8833333333333,"ARA",20
11.2880555555556,37.9,"ARA",32
11.2880555555556,37.95,"ARA",20
11.2880555555556,37.9666666666667,"ARA",81
11.2880555555556,37.9833333333333,"ARA",2
11.2880555555556,37.9972222222222,"ARA",108
11.2880555555556,37.9838888888889,"ARA",20
11.2880555555556,37.9611111111111,"ARA",12
11.305,37.8,"ARA",4
11.305,37.85,"ARA",45
11.305,37.8666666666667,"ARA",127
11.305,37.8833333333333,"ARA",55
11.305,37.9,"ARA",5
11.305,37.9166666666667,"ARA",60
11.305,37.9666666666667,"ARA",50
11.305,37.9833333333333,"ARA",77
11.305,37.9916666666667,"ARA",15
11.305,37.9972222222222,"ARA",10
11.305,37.9833333333333,"ARA",12
11.305,37.6997222222222,"ARA",45
11.305,37.9861111111111,"ARA",36
11.3219444444444,37.7,"ARA",20
11.3219444444444,37.8,"ARA",12
11.3219444444444,37.85,"ARA",168
11.3219444444444,37.8666666666667,"ARA",190
11.3219444444444,37.9166666666667,"ARA",10
11.3219444444444,37.9666666666667,"ARA",25
11.3219444444444,37.9833333333333,"ARA",24
11.3219444444444,37.7094444444445,"ARA",12
11.3219444444444,37.9833333333333,"ARA",17
11.3219444444444,37.75,"ARA",12
11.3388888888889,37.7333333333333,"ARA",8
11.3388888888889,37.7666666666667,"ARA",8
11.3388888888889,37.7833333333333,"ARA",22
11.3388888888889,37.8,"ARA",88
11.3388888888889,37.8166666666667,"ARA",43
11.3388888888889,37.8333333333333,"ARA",220
11.3388888888889,37.85,"ARA",85
11.3388888888889,37.8666666666667,"ARA",82
11.3388888888889,37.9666666666667,"ARA",21
11.3388888888889,37.9833333333333,"ARA",14
11.3388888888889,37.9255555555556,"ARA",39
11.3388888888889,37.9422222222222,"ARA",49
11.3388888888889,37.6888888888889,"ARA",10
11.3388888888889,37.9255555555556,"ARA",12
11.3388888888889,37.8291666666667,"ARA",48
11.3388888888889,37.8080555555556,"ARA",18
11.3388888888889,37.6666666666667,"ARA",7
