"year";"region";"species";"fishing_technique";"totwghtlandg"
2014;"Central Mediterranean";"HKE";"DTS";772.93705
2015;"Central Mediterranean";"HKE";"DTS";671.85248
2016;"Central Mediterranean";"HKE";"DTS";595.91494944
2017;"Central Mediterranean";"HKE";"DTS";1498.77978704
2018;"Central Mediterranean";"HKE";"DTS";863.62830761
2019;"Central Mediterranean";"HKE";"DTS";997.35445634
2020;"Central Mediterranean";"HKE";"DTS";3632.7181011891
2021;"Central Mediterranean";"HKE";"DTS";67210.47206694
2016;"Eastern Mediterranean";"HKE";"DTS";1581.606
2017;"Eastern Mediterranean";"HKE";"DTS";1760.874
2018;"Eastern Mediterranean";"HKE";"DTS";1757.887
2019;"Eastern Mediterranean";"HKE";"DTS";1718.069
2020;"Eastern Mediterranean";"HKE";"DTS";1825.179
2021;"Eastern Mediterranean";"HKE";"DTS";1658.729
2013;"Western Mediterranean";"HKE";"DTS";3844.343
2014;"Western Mediterranean";"HKE";"DTS";3793.21
2015;"Western Mediterranean";"HKE";"DTS";2571.112
2016;"Western Mediterranean";"HKE";"DTS";2500.501
2017;"Western Mediterranean";"HKE";"DTS";2598.7693
2018;"Western Mediterranean";"HKE";"DTS";1982.076
2019;"Western Mediterranean";"HKE";"DTS";1604.5075
2020;"Western Mediterranean";"HKE";"DTS";908.4066740599
2021;"Western Mediterranean";"HKE";"DTS";1783.81
2016;"Adriatic Sea";"PIL";"DTS";1.18
2017;"Adriatic Sea";"PIL";"DTS";18.344
2018;"Adriatic Sea";"PIL";"DTS";47.886
2019;"Adriatic Sea";"PIL";"DTS";39.438
2020;"Adriatic Sea";"PIL";"DTS";50.351
2021;"Adriatic Sea";"PIL";"DTS";0.791
2014;"Central Mediterranean";"PIL";"DTS";8.96428
2015;"Central Mediterranean";"PIL";"DTS";34.33451
2016;"Central Mediterranean";"PIL";"DTS";3.646
2017;"Central Mediterranean";"PIL";"DTS";58.18358
2018;"Central Mediterranean";"PIL";"DTS";59.3609
2019;"Central Mediterranean";"PIL";"DTS";2.82924
2020;"Central Mediterranean";"PIL";"DTS";69.4819391987
2021;"Central Mediterranean";"PIL";"DTS";3.413
2016;"Eastern Mediterranean";"PIL";"DTS";83.166
2017;"Eastern Mediterranean";"PIL";"DTS";148.324
2018;"Eastern Mediterranean";"PIL";"DTS";158.193
2019;"Eastern Mediterranean";"PIL";"DTS";243.885
2020;"Eastern Mediterranean";"PIL";"DTS";212.147
2021;"Eastern Mediterranean";"PIL";"DTS";204.531
2013;"Western Mediterranean";"PIL";"DTS";125.98
2014;"Western Mediterranean";"PIL";"DTS";135.234
2015;"Western Mediterranean";"PIL";"DTS";74.288
2016;"Western Mediterranean";"PIL";"DTS";44.225
2017;"Western Mediterranean";"PIL";"DTS";56.865
2018;"Western Mediterranean";"PIL";"DTS";171.815
2019;"Western Mediterranean";"PIL";"DTS";299.807
2020;"Western Mediterranean";"PIL";"DTS";33.0085145416
2021;"Western Mediterranean";"PIL";"DTS";62.156
2016;"Adriatic Sea";"ANE";"PS";316.909
2017;"Adriatic Sea";"ANE";"PS";497.336
2018;"Adriatic Sea";"ANE";"PS";496.99
2019;"Adriatic Sea";"ANE";"PS";395.253
2020;"Adriatic Sea";"ANE";"PS";287.144
2021;"Adriatic Sea";"ANE";"PS";276.167
2014;"Central Mediterranean";"ANE";"PS";10114.08291
2015;"Central Mediterranean";"ANE";"PS";12759.14015
2016;"Central Mediterranean";"ANE";"PS";8232.851541
2017;"Central Mediterranean";"ANE";"PS";15327.51440634
2018;"Central Mediterranean";"ANE";"PS";13406.68056907
2019;"Central Mediterranean";"ANE";"PS";8122.6488
2020;"Central Mediterranean";"ANE";"PS";11830.6989937139
2021;"Central Mediterranean";"ANE";"PS";11619.97447785
2016;"Eastern Mediterranean";"ANE";"PS";12490.5
2017;"Eastern Mediterranean";"ANE";"PS";12989.258
2018;"Eastern Mediterranean";"ANE";"PS";12322.753
2019;"Eastern Mediterranean";"ANE";"PS";13684.756
2020;"Eastern Mediterranean";"ANE";"PS";10332.319
2021;"Eastern Mediterranean";"ANE";"PS";6418.482
2013;"Western Mediterranean";"ANE";"PS";15633.492
2014;"Western Mediterranean";"ANE";"PS";16727.293
2015;"Western Mediterranean";"ANE";"PS";15054.407
2016;"Western Mediterranean";"ANE";"PS";16749.727
2017;"Western Mediterranean";"ANE";"PS";17956.105
2018;"Western Mediterranean";"ANE";"PS";16318.804
2019;"Western Mediterranean";"ANE";"PS";16440.1345
2020;"Western Mediterranean";"ANE";"PS";12021.1197364689
2021;"Western Mediterranean";"ANE";"PS";12247.399
2017;"Eastern Mediterranean";"ARS";"PS";0.004
2019;"Eastern Mediterranean";"ARS";"PS";0.032
2021;"Eastern Mediterranean";"ARS";"PS";0.092
2014;"Central Mediterranean";"DPS";"PS";0.01
2015;"Central Mediterranean";"DPS";"PS";0.0442
2018;"Central Mediterranean";"DPS";"PS";0.292
2019;"Central Mediterranean";"DPS";"PS";0.3185
2020;"Central Mediterranean";"DPS";"PS";0.215
2021;"Central Mediterranean";"DPS";"PS";0.18
2016;"Eastern Mediterranean";"DPS";"PS";0.39
2017;"Eastern Mediterranean";"DPS";"PS";0.37
